,inputs,energy
60,"[0.23223626613616943, 0.08433148264884949, 0.01958482712507248]",-0.165088
61,"[0.17377394437789917, 0.16529889404773712, 0.028724640607833862]",-0.159189
62,"[0.12245643883943558, 0.12245643883943558, 0.0775526836514473]",-0.104062
63,"[0.12245643883943558, 0.12245646864175797, 0.017302779480814934]",-0.144104
64,"[0.23480497300624847, 0.22576647996902466, 0.22576647996902466]",-0.040498
65,"[0.3011941909790039, 0.21802303194999695, 0.21802303194999695]",-0.037321
66,"[0.24809736013412476, 0.2463504821062088, 0.17906880378723145]",-0.062264
67,"[0.3178543448448181, 0.2348049432039261, 0.14777030050754547]",-0.057737
68,"[0.2973979711532593, 0.23480503261089325, 0.15402892231941223]",-0.064519
69,"[0.24660928547382355, 0.23480486869812012, 0.1764145791530609]",-0.066532
70,"[0.23480497300624847, 0.2188776433467865, 0.19564110040664673]",-0.059538
71,"[0.23480497300624847, 0.20672690868377686, 0.20672690868377686]",-0.05752
72,"[0.22313016653060913, 0.20428524911403656, 0.20428524911403656]",-0.058578
73,"[0.19440066814422607, 0.1944006383419037, 0.18268346786499023]",-0.068143
74,"[0.2463504821062088, 0.19099538028240204, 0.19099538028240204]",-0.070693
75,"[0.32868480682373047, 0.23480500280857086, 0.12536992132663727]",-0.062476
76,"[0.2914479374885559, 0.23480486869812012, 0.13433358073234558]",-0.077413
77,"[0.2727258801460266, 0.2348049432039261, 0.14014075696468353]",-0.080969
78,"[0.23480497300624847, 0.18903875350952148, 0.18903875350952148]",-0.072035
79,"[0.26571419835090637, 0.24635039269924164, 0.12437678128480911]",-0.088785
80,"[0.2463504821062088, 0.17436134815216064, 0.17436134815216064]",-0.083532
81,"[0.2667338252067566, 0.23480509221553802, 0.12206584215164185]",-0.092769
82,"[0.23480497300624847, 0.2067299783229828, 0.14666256308555603]",-0.08991
83,"[0.23480497300624847, 0.17266733944416046, 0.17266733944416046]",-0.084551
84,"[0.36145707964897156, 0.23480500280857086, 0.09007367491722107]",-0.053875
85,"[0.322360098361969, 0.2348048985004425, 0.0948501005768776]",-0.081715
86,"[0.24374468624591827, 0.2348049134016037, 0.11087661981582642]",-0.10486
87,"[0.23480497300624847, 0.22818870842456818, 0.11583531647920609]",-0.104859
88,"[0.23480497300624847, 0.15756064653396606, 0.15756064653396606]",-0.095436
89,"[0.24801699817180634, 0.18268345296382904, 0.10045435279607773]",-0.11778
90,"[0.24953202903270721, 0.13533532619476318, 0.08898432552814484]",-0.129199
91,"[0.012955148704349995, 0.012955136597156525, 0.00033546279883012176]",-0.013098
92,"[0.3678794503211975, 0.22559164464473724, 0.11277259886264801]",-0.040633
93,"[0.3678794503211975, 0.2089848816394806, 0.11905156075954437]",-0.043466
