,Ahalf,Y,Z,E
421,0.720301,1.447814,0.77892,-0.098444
422,0.7245,1.448721,0.678082,-0.093759
423,0.697563,1.386794,0.896571,-0.095703
424,0.609235,0.776036,1.832906,-0.105638
425,0.663765,1.219139,1.4469,-0.112384
426,0.706018,1.399201,1.082633,-0.109248
427,0.720383,1.440619,0.876003,-0.103046
428,0.723828,1.448197,0.772056,-0.098588
429,0.628986,0.721653,1.885496,-0.11297
430,0.674797,1.168081,1.532227,-0.116909
431,0.711063,1.372062,1.176947,-0.113356
432,0.722858,1.428022,0.96853,-0.107362
433,0.84622,1.699983,0.853713,-0.124016
434,1.0,1.999822,0.667423,-0.11443
435,0.641057,0.626776,1.894035,-0.112188
436,0.673958,1.053767,1.597201,-0.114062
437,0.699941,1.278797,1.272199,-0.110297
438,0.649791,0.674399,1.932284,-0.119584
439,0.688012,1.118978,1.608605,-0.121364
440,0.718402,1.342071,1.264703,-0.117319
441,0.796014,1.587123,0.998599,-0.124674
442,0.700438,0.957861,2.104896,-0.145136
443,0.771964,1.470517,1.624946,-0.143423
444,0.826119,1.659957,1.19292,-0.135152
445,0.844769,1.696523,0.953442,-0.127782
446,0.849599,1.699928,0.833915,-0.123254
447,0.895997,1.799983,0.903931,-0.127353
448,1.0,1.999288,0.788476,-0.118899
449,1.5,2.862612,0.127354,-0.045126
450,0.671369,0.633009,1.974788,-0.125387
451,0.702959,1.072263,1.677562,-0.125622
452,0.693526,0.596478,2.014062,-0.130431
453,0.719296,1.028123,1.740356,-0.129595
454,0.792364,1.367652,1.802081,-0.147558
455,0.834584,1.608143,1.385834,-0.140359
456,0.848273,1.674559,1.141278,-0.134021
457,0.895066,1.788301,1.099952,-0.133674
458,0.995552,1.999981,1.004367,-0.125933
459,1.5,2.935101,0.213918,-0.046948
460,0.79283,1.138878,1.916644,-0.147388
461,0.820208,1.271332,1.948798,-0.150783
462,0.84967,1.407435,1.971778,-0.151853
463,0.889514,1.678257,1.540246,-0.144332
464,0.994212,1.989268,1.201122,-0.130962
465,1.5,2.975742,0.524732,-0.05206
466,0.896176,1.270545,2.171212,-0.15384
467,1.5,2.998846,0.937825,-0.058824
468,0.878379,0.229314,2.620351,-0.15906
469,0.878425,0.045999,2.634823,-0.159206
470,1.493329,2.999971,1.506552,-0.065652
471,0.545,0.0,3.39,-0.139675
472,0.545,1.159448,3.185558,-0.139742
473,0.545,2.17905,2.596891,-0.13988
474,0.545,2.935826,1.695,-0.140028
475,0.545,3.338498,0.588667,-0.140111
476,0.7,0.0,3.39,-0.167068
477,0.7,1.159448,3.185558,-0.166999
478,0.7,2.17905,2.596891,-0.16681
479,0.7,2.935826,1.695,-0.166624
480,0.7,3.338498,0.588667,-0.166535
481,1.02,0.0,3.39,-0.140907
482,1.02,1.159448,3.185558,-0.138427
483,1.02,2.17905,2.596891,-0.133208
484,1.02,2.935826,1.695,-0.1291
485,0.55,1.362273,2.817998,-0.137677
486,1.03,1.362273,2.817998,-0.140601
487,0.475,0.0,3.025,-0.091581
488,0.5,0.0,3.05,-0.11032
489,0.5125,0.0,3.0625,-0.11821
490,0.525,0.0,3.075,-0.125258
491,0.55,0.0,3.1,-0.137048
492,0.575,0.0,3.125,-0.14623
493,0.905,0.0,3.455,-0.152482
494,1.055,0.0,3.605,-0.13337
495,1.23,0.0,3.78,-0.113258
496,0.55,0.0,1.65,-0.01368
497,0.65,0.0,1.95,-0.104313
498,0.75,0.0,2.25,-0.145304
499,0.8,0.0,2.4,-0.154502
500,0.85,0.0,2.55,-0.15861
501,0.875,0.0,2.625,-0.159167
502,0.9,0.0,2.7,-0.158899
503,0.95,0.0,2.85,-0.156347
504,1.05,0.0,3.15,-0.145512
505,1.15,0.0,3.45,-0.130317
506,1.25,0.0,3.75,-0.113389
507,1.35,0.0,4.05,-0.096303
508,1.5,0.0,4.5,-0.072487
509,2.0,0.0,6.0,-0.021419
510,2.5,0.0,7.5,-0.004969
511,0.645,0.0,2.285,-0.135646
512,0.71,0.0,2.43,-0.150736
513,0.775,0.0,2.575,-0.157843
514,0.84,0.0,2.72,-0.159446
