  Nabs ijk   A/2       Y3       Z3           S f(N) sumC*C    Eex   dEl34 dE(T)  DTS  |Ddc| DbasL  Efinal
 85301 000     0.558026 0.604857 1.874745                              d .22 .983545 -.082963   -87   567    22   807  1845 -.084967
 85302 000     0.613623 1.062623 1.598729                              d .22 .982620 -.100089   -88   484    22   863  1955 -.102215
 85303 000     0.692933 1.330775 1.266203                              P .01 .984999 -.111145   -55   426    14   665  2048 -.113186
 85304 000     0.724500 1.469694 1.039230                              P .01 .984895 -.112423   -95   425    24   657  2119 -.114524
 85305 000     0.724500 1.558846 0.900000                              P .01 .984865 -.111555   -76   430    19   652  2174 -.113717
 85306 000     0.724500 1.738666 0.465874                              P .01 .984695 -.106126   -45   405    11   646  2273 -.108395
 85307 000     0.724500 1.793150 0.156880                              P .01 .984481 -.103110   -49   345    12   654  2272 -.105377
 85308 000     0.724500 1.800000 0.000000                              P .01 .984408 -.102690   -37   231     9   658  2256 -.104944
 85309 000     0.744519 1.579215 1.001576                              P .01 .984839 -.119163    -9   398     2   643  2132 -.121299
 85310 000     0.475000 0.000000 2.175000                              P .01 .986208 -.051984   -78   316    20   622  1966 -.053937
 85311 000     0.501689 0.789320 2.007336                              d .22 .984558 -.071480   -65   613    16   726  1973 -.073599
 85312 000     0.572814 1.335513 1.624672                              d .22 .983158 -.104955   -77   539    19   808  2041 -.107157
 85313 000     0.670588 1.613320 1.206496                              P .01 .984831 -.122322   -53   430    13   657  2124 -.124440
 85314 000     0.740913 1.686082 0.958004                              P .01 .984791 -.122492   -60   426    15   636  2157 -.124640
 85315 000     0.779824 1.699126 0.834323                              P .01 .984775 -.119869  -139   434    35   626  2169 -.122010
 85316 000     0.850000 1.738666 0.465874                              P .01 .988035 -.106257   -42   385    11   406  2204 -.108455
 85317 000     0.850000 1.800000 0.000000                              P .01 .984252 -.096200  -120   245    30   617  2217 -.098393
 85318 000     0.738137 1.791977 0.907899                              P .01 .984676 -.125455   -53   402    13   635  2167 -.127615
 85319 000     0.735109 1.999288 0.788476                              P .01 .984386 -.131069   -76   383    19   640  2157 -.133213
 85320 000     1.000000 1.800000 0.000000                              P .01 .988265 -.077663  -126   284    32   354  2112 -.079747
 85321 000     0.770115 2.862612 0.127354                              P .01 .988752 -.152633    10   227    -3   334  1947 -.154585
 85322 000     0.587750 0.000000 2.036750                              P .01 .986083 -.099518   -62   300    16   608  1730 -.101238
 85323 000     0.607373 0.586587 1.932333                              d .22 .982968 -.104968  -162   566    40   834  1779 -.106894
 85324 000     0.661560 1.040382 1.670126                              d .22 .982110 -.115126   -74   480    19   885  1888 -.117194
 85325 000     0.724500 1.343503 1.343503                              P .01 .984982 -.120759   -56   385    14   652  2002 -.122753
 85326 000     0.724500 1.551344 1.096966                              P .01 .984859 -.120271   -61   424    15   648  2114 -.122376
 85327 000     0.724500 1.645448 0.950000                              P .01 .984809 -.118991   -42   424    11   645  2167 -.121154
 85328 000     0.724500 1.835259 0.491756                              P .01 .984526 -.113845   -97   401    24   650  2246 -.116073
 85329 000     0.724500 1.900000 0.000000                              P .01 .984221 -.111091   -73   238    18   663  2220 -.113299
 85330 000     0.500000 1.632993 1.154701                              d .22 .984124 -.061268   -66   538    16   764  2238 -.063660
 85331 000     0.500000 1.732051 1.000000                              d .22 .984111 -.061779   -69   558    17   763  2252 -.064184
 85332 000     0.500000 2.000000 0.000000                              P .01 .984239 -.062860   -25   209     6   767  2177 -.065038
 85333 000     0.550000 1.632993 1.154701                              d .22 .983233 -.089019   -86   534    21   814  2214 -.091394
 85334 000     0.550000 2.000000 0.000000                              P .01 .984298 -.089635   -33   211     8   736  2168 -.091803
