theta r1 r2 energy dipole_x dipole_y
104.52000000 0.70000000 0.70000000 -75.94176646 0.67666668     0.00000000
110.00000000 0.70000000 0.70000000 -75.94454329 0.64838869     0.00000000
120.00000000 0.70000000 0.70000000 -75.94530168 0.59037250     0.00000000
140.00000000 0.70000000 0.70000000 -75.93534751 0.44150816     0.00000000
160.00000000 0.70000000 0.70000000 -75.92107841 0.24067599     0.00000000
180.00000000 0.70000000 0.70000000 -75.91459211 0.00000000     0.00000000
170.00000000 0.95000000 1.00000000 -76.14313828 0.13907792 -0.05290771
180.00000000 0.95000000 1.00000000 -76.14056650 0.00000000 -0.05463931
160.00000000 0.95000000 1.00000000 -76.15026168 0.26963465 -0.04832441
140.00000000 0.95000000 1.00000000 -76.17175857 0.48860125 -0.03565078
120.00000000 0.95000000 1.00000000 -76.19089076 0.65315634 -0.02351123
110.00000000 0.95000000 1.00000000 -76.19584687 0.71950766 -0.01818653
104.52       0.95000000 1.00000000 -76.19669683 0.75229007 -0.01546741
100.00000000 0.95000000 1.00000000 -76.19626696 0.77766780 -0.01332203
90.00000000  0.95000000 1.00000000 -76.19129733 0.82917334 -0.00887144
80.00000000  0.95000000 1.00000000 -76.18019048 0.87528784 -0.00483859
60.00000000  0.95000000 1.00000000 -76.13603718 0.95325395 0.00142434
50.00000000  0.95000000 1.00000000 -76.09870780  0.98148652  0.00300747
40.00000000  0.95000000 1.00000000 -76.03998906 0.99332306 0.00306581
35.00000000  0.95000000 1.00000000 -75.99361004  0.98916460  0.00254580
100.00000000 0.95000000 1.10000000 -76.18428700  0.78745139 -0.03614917
100.00000000 0.95000000 1.20000000 -76.16504901 0.79329223 -0.05191204
180.00000000 0.95000000 1.30000000 -76.07023077 0.00000000    -0.41485284
170.00000000 0.95000000 1.30000000 -76.07393366 0.14600682 -0.38767713
180.00000000 0.95000000 1.70000000 -75.97312690 0.00000000     0.90074781
180.00000000 0.95000000 2.00000000 -75.98185658 0.00000000     0.74073888
175.00000000 0.95000000 1.70000000 -75.97906379 -0.00841660 0.55527949
175.00000000 0.95000000 3.00000000 -76.00231855 0.02628608 0.68596458
180.00000000 0.95000000 3.00000000 -76.00136452 0.00000000     0.68668585
80.000000000 0.90000000 1.10000000 -76.16556082 0.88031723 -0.01711684
60.000000000 0.90000000 1.10000000 -76.12469926 0.95697981 0.00812831
50.000000000 0.90000000 1.10000000 -76.09069073 0.98624759 0.01477004
40.000000000 0.90000000 1.10000000 -76.03971275 1.00274967 0.01529082
50.00000000  0.90000000 1.30000000 -76.07387109 0.98278760 0.05024073
40.00000000  0.90000000 1.30000000 -76.03965328 1.00742113 0.05101454
100.00000000 0.90000000 1.30000000 -76.13838207 0.79138847 -0.07353319
104.52000000 0.90000000 1.30000000 -76.13766321 0.76564894 -0.08902216
110.00000000 0.90000000 1.30000000 -76.13561065 0.73217177 -0.10868408
120.00000000 0.90000000 1.30000000 -76.12884783 0.66432905 -0.14772254
140.00000000 0.90000000 1.30000000 -76.10645213 0.49906259 -0.24485837
160.00000000 0.90000000 1.30000000 -76.08044010 0.28207676 -0.37706780
170.00000000 0.90000000 1.30000000 -76.07105130 0.14798826 -0.44108779
180.00000000 0.90000000 1.30000000 -76.06750635 0.00000000    -0.46899655
140.00000000 0.80000000 1.30000000 -76.07380941 0.50604611 -0.32113616
120.00000000 0.80000000 1.30000000 -76.09539221 0.66704494 -0.20209167
110.00000000 0.80000000 1.30000000 -76.10176280 0.73205260 -0.15303805
100.00000000 0.80000000 1.30000000 -76.10408457 0.78841582 -0.10851123
180.00000000 0.80000000 1.30000000 -76.03682402 0.00000000    -0.57044333
170.00000000 0.80000000 1.30000000 -76.04011533 0.15158117 -0.54165272
160.00000000 0.80000000 1.30000000 -76.04892841 0.28843601 -0.47308521
80.00000000  0.80000000 1.30000000 -76.09418085 0.87856334 -0.02901733
60.00000000  0.80000000 1.30000000 -76.06138675 0.94569986 0.03652500
90.00000000  0.80000000 1.30000000 -76.10173577 0.83698237 -0.06733334
40.00000000  0.80000000 1.30000000 -75.99975110 1.00967065 0.07058754
40.00000000  0.80000000 0.90000000 -75.94832759 0.97907293 0.00435410
50.00000000  0.80000000 0.90000000 -76.02547427  0.95462431 0.00273532
60.00000000  0.80000000 0.90000000 -76.07405132 0.92003931 -0.00121903
