,theta,r1,r2,energy
374,1.1344640137963142,0.92,0.9,11992.756642389691
375,1.1344640137963142,0.92,0.92,11186.208550225112
376,1.1344640137963142,0.92,0.94,10600.900416039738
377,1.1344640137963142,0.92,0.96,10209.472739761772
378,1.1344640137963142,0.92,1.0,9914.771398607674
379,1.1344640137963142,0.92,1.02,9971.523482409268
380,1.1344640137963142,0.92,1.06,10410.120137320684
381,1.1344640137963142,0.92,1.08,10764.299557293243
382,1.1344640137963142,0.92,1.1,11192.531072937758
383,1.1344640137963142,0.92,1.12,11684.56667950313
384,1.1344640137963142,0.92,1.16,12824.601764486157
385,1.1344640137963142,0.94,0.8,19951.27120247428
386,1.1344640137963142,0.94,0.82,17485.785644352825
387,1.1344640137963142,0.94,0.86,13782.763874071545
388,1.1344640137963142,0.94,0.92,10600.900416039738
389,1.1344640137963142,0.94,0.94,10025.21776569242
390,1.1344640137963142,0.94,0.96,9643.147068354692
391,1.1344640137963142,0.94,0.98,9430.590133034082
392,1.1344640137963142,0.94,1.02,9431.543839680256
393,1.1344640137963142,0.94,1.04,9609.732769404623
394,1.1344640137963142,0.94,1.16,12335.590330849387
395,1.1344640137963142,0.96,0.8,19500.517259399043
396,1.1344640137963142,0.96,0.84,15016.576508009732
397,1.1344640137963142,0.96,0.86,13362.149047292884
398,1.1344640137963142,0.96,0.88,12035.641526021504
399,1.1344640137963142,0.96,0.92,10209.472739761772
400,1.1344640137963142,0.96,0.94,9643.147068354692
401,1.1344640137963142,0.96,0.96,9270.205901909409
402,1.1344640137963142,0.96,0.98,9066.532368615775
403,1.1344640137963142,0.96,1.02,9084.45758729711
404,1.1344640137963142,0.96,1.04,9270.71418478059
405,1.1344640137963142,0.96,1.06,9554.96587112881
406,1.1344640137963142,0.96,1.08,9924.210335567444
407,1.1344640137963142,0.96,1.12,10872.8312169628
408,1.1344640137963142,0.96,1.18,12683.754607183371
409,1.1344640137963142,0.98,0.82,16776.338691686717
410,1.1344640137963142,0.98,0.84,14757.33576623393
411,1.1344640137963142,0.98,0.86,13112.433368823986
412,1.1344640137963142,0.98,0.9,10765.709100050106
413,1.1344640137963142,0.98,0.92,9987.840318377655
414,1.1344640137963142,0.98,0.96,9066.532368615775
415,1.1344640137963142,0.98,0.98,8871.526948735212
416,1.1344640137963142,0.98,1.0,8824.298023834763
417,1.1344640137963142,0.98,1.02,8906.068842847197
418,1.1344640137963142,0.98,1.04,9100.245997226944
419,1.1344640137963142,0.98,1.06,9392.146498520831
420,1.1344640137963142,0.98,1.08,9768.761908969916
421,1.1344640137963142,0.98,1.1,10218.554434233847
422,1.1344640137963142,0.98,1.14,11297.838005812357
423,1.1344640137963142,0.98,1.18,12560.967452928198
424,1.1344640137963142,1.0,0.8,19095.121568969153
425,1.1344640137963142,1.0,0.82,16658.15669711033
426,1.1344640137963142,1.0,0.84,14648.19426670424
427,1.1344640137963142,1.0,0.86,13012.37045452744
428,1.1344640137963142,1.0,0.88,11704.399988983436
429,1.1344640137963142,1.0,0.9,10683.724733534478
430,1.1344640137963142,1.0,0.94,9366.305493636704
431,1.1344640137963142,1.0,0.98,8824.298023834763
432,1.1344640137963142,1.0,1.0,8785.291261009104
433,1.1344640137963142,1.0,1.02,8875.054149261754
434,1.1344640137963142,1.0,1.04,9076.97818909445
435,1.1344640137963142,1.0,1.06,9376.368789341266
436,1.1344640137963142,1.0,1.12,10736.365179174714
437,1.1344640137963142,1.0,1.16,11927.772022978814
438,1.1344640137963142,1.0,1.18,12584.4866274068
439,1.1344640137963142,1.02,0.82,16671.74807248029
440,1.1344640137963142,1.02,0.84,14670.366510840951
441,1.1344640137963142,1.02,0.86,13043.198265388448
442,1.1344640137963142,1.02,0.88,11743.90674869194
443,1.1344640137963142,1.02,0.9,10731.887015266935
444,1.1344640137963142,1.02,0.92,9971.523482409268
445,1.1344640137963142,1.02,0.96,9084.45758729711
446,1.1344640137963142,1.02,0.98,8906.068842847197
447,1.1344640137963142,1.02,1.04,9182.071820829027
448,1.1344640137963142,1.02,1.06,9488.770577347095
449,1.1344640137963142,1.02,1.1,10343.21095196909
450,1.1344640137963142,1.02,1.14,11448.395767066568
451,1.1344640137963142,1.02,1.16,12072.848088576724
452,1.1344640137963142,1.02,1.18,12735.323428094804
453,1.1344640137963142,1.04,0.8,19220.98644860275
454,1.1344640137963142,1.04,0.82,16800.466601354223
455,1.1344640137963142,1.04,0.84,14807.238230045969
456,1.1344640137963142,1.04,0.86,13188.325390191769
457,1.1344640137963142,1.04,0.9,10893.626645621662
458,1.1344640137963142,1.04,0.94,9609.732769404623
459,1.1344640137963142,1.04,0.96,9270.71418478059
460,1.1344640137963142,1.04,0.98,9100.245997226944
461,1.1344640137963142,1.04,1.0,9076.97818909445
462,1.1344640137963142,1.04,1.02,9182.071820829027
463,1.1344640137963142,1.04,1.06,9712.68866562413
464,1.1344640137963142,1.04,1.08,10110.45196502881
465,1.1344640137963142,1.04,1.12,11112.928909544586
466,1.1344640137963142,1.04,1.14,11698.288289659213
467,1.1344640137963142,1.04,1.16,12328.610316119635
468,1.1344640137963142,1.04,1.18,12996.712888343229
469,1.1344640137963142,1.06,0.8,19442.51103428168
470,1.1344640137963142,1.06,0.82,17029.568446555335
471,1.1344640137963142,1.06,0.86,13433.059791844087
472,1.1344640137963142,1.06,0.88,12150.020078658676
473,1.1344640137963142,1.06,0.9,11154.274766674964
474,1.1344640137963142,1.06,0.92,10410.120137320684
475,1.1344640137963142,1.06,0.96,9554.96587112881
476,1.1344640137963142,1.06,1.02,9488.770577347095
477,1.1344640137963142,1.06,1.04,9712.68866562413
478,1.1344640137963142,1.06,1.06,10033.385360216324
479,1.1344640137963142,1.06,1.08,10437.812047052474
480,1.1344640137963142,1.06,1.14,12044.2168590456
481,1.1344640137963142,1.06,1.16,12680.25314842955
482,1.1344640137963142,1.08,0.8,19751.72566891947
483,1.1344640137963142,1.08,0.84,15367.890132418916
484,1.1344640137963142,1.08,0.86,13764.37426940274
485,1.1344640137963142,1.08,0.9,11500.827960664075
486,1.1344640137963142,1.08,0.92,10764.299557293243
487,1.1344640137963142,1.08,0.96,9924.210335567444
488,1.1344640137963142,1.08,0.98,9768.761908969916
489,1.1344640137963142,1.08,1.04,10110.45196502881
490,1.1344640137963142,1.08,1.06,10437.812047052474
491,1.1344640137963142,1.08,1.1,11331.505892277994
492,1.1344640137963142,1.08,1.14,12473.092263904602
493,1.1344640137963142,1.08,1.16,13114.68011711776
494,1.1344640137963142,1.08,1.18,13793.60263023426
495,1.1344640137963142,1.1,0.8,20136.988681769453
496,1.1344640137963142,1.1,0.82,17738.084978461564
497,1.1344640137963142,1.1,0.84,15767.03744393349
498,1.1344640137963142,1.1,0.9,11921.74506555186
499,1.1344640137963142,1.1,0.94,10683.46478977909
500,1.1344640137963142,1.1,1.0,10216.95658488182
501,1.1344640137963142,1.1,1.04,10580.61621646792
502,1.1344640137963142,1.1,1.08,11331.505892277994
503,1.1344640137963142,1.1,1.12,12370.64857147069
504,1.1344640137963142,1.1,1.16,13620.298868376489
505,1.1344640137963142,1.1,1.18,14304.406786050193
506,1.1344640137963142,1.12,0.84,16231.2401175898
507,1.1344640137963142,1.12,0.86,14641.7688457755
508,1.1344640137963142,1.12,0.88,13380.560575115003
509,1.1344640137963142,1.12,0.92,11684.56667950313
510,1.1344640137963142,1.12,0.94,11182.475905859044
511,1.1344640137963142,1.12,0.96,10872.8312169628
512,1.1344640137963142,1.12,0.98,10731.280513145944
513,1.1344640137963142,1.12,1.0,10736.365179174714
514,1.1344640137963142,1.12,1.04,11112.928909544586
515,1.1344640137963142,1.12,1.06,11452.907033318654
516,1.1344640137963142,1.12,1.12,12926.562624105632
